ภาษารัก,ชาง ซาไก,
ยังรักเหมือนเดิม,ชาง ซาไก,
ความหวังยังมี,ช้างเผือก เชือกไทย,
จับหูเสียไก่,ช้างเผือก เชือกไทย,
ใจถือสากปากถือศีล,ช้างเผือก เชือกไทย,
นาคของสีกา,ช้างเผือก เชือกไทย,
ปริญญาแม่ค้า,ช้างเผือก เชือกไทย,
มาบวชให้พ่อตอนเป็น,ช้างเผือก เชือกไทย,
มีผัวเฒ่า,ช้างเผือก เชือกไทย,
มีใหม่ให้ระวัง,ช้างเผือก เชือกไทย,
รักเขาข้างเดียว,ช้างเผือก เชือกไทย,
ลูกศิษย์คิดถึง,ช้างเผือก เชือกไทย,
วอนพระศรีสุริโยทัย,ช้างเผือก เชือกไทย,
วันเกิดไม่ใช่งานแต่ง,ช้างเผือก เชือกไทย,
สงสารคนขวานบิ่น,ช้างเผือก เชือกไทย,
สงสารครูประชาบาล,ช้างเผือก เชือกไทย,
สาวชุมพวง,ช้างเผือก เชือกไทย,
สาวเมืองเหนือ,ช้างเผือก เชือกไทย,
สีกาคนเก่า,ช้างเผือก เชือกไทย,
สีกาสั่งนาค,ช้างเผือก เชือกไทย,
หญ้าปากคอก,ช้างเผือก เชือกไทย,
หนีเสียงเครื่องไฟ,ช้างเผือก เชือกไทย,
กุหลาบแดง,ชาตรี ศรีชล,
โกรธกัน,ชาตรี ศรีชล,
ขาดกุศล,ชาตรี ศรีชล,
คงเป็นแฟนคุณ,ชาตรี ศรีชล,
